"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"str_cfgvehicles_flashbang0","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang","$UNT$Flashbang",
"str_cfgvehicles_firewood1","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.","Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.",
"str_cfgvehicles_pigpelt1","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.","Pelt from a pig. Can be tanned for further processing.",
"str_cfgvehicles_firewood0","Firewood","Firewood","Firewood","Firewood","Firewood","Firewood","Firewood","Firewood","Firewood","Firewood","Firewood","Firewood",
"str_cfgvehicles_ducttape_useractions_restraintarget1","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up",
"str_cfgvehicles_ducttape_useractions_restraintarget0","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up","$UNT$Tie up",
"str_cfgvehicles_ducttape_useractions_cancelaction1","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action",
"str_cfgvehicles_ducttape_useractions_cancelaction0","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action",
"str_cfgvehicles_ducttape1","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.","A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape.",
"str_cfgvehicles_ducttape0","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape","Duct Tape",
"str_cfgvehicles_chemlight_yellow0","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.",
"str_cfgvehicles_chemlight_white0","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.",
"str_cfgvehicles_chemlight_red0","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.",
"str_cfgvehicles_chemlight_green0","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.",
"str_cfgvehicles_chemlight_colorbase1","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.","A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark.",
"str_cfgvehicles_chemlight_colorbase0","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick","Glow Stick",
"str_cfgvehicles_chemlight_blue0","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.","$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source.",
"str_cfgvehicles_butanecanister1","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.",
"str_cfgvehicles_butanecanister0","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister","$UNT$Butane Canister",
"str_cfgvehicles_burlapstrip1","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.","Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage.",
"str_cfgvehicles_burlapstrip0","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips","Burlap Strips",
"str_cfgvehicles_bonehook1","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.","$UNT$Improvised fishing hook from a bone.",
"str_cfgvehicles_bonehook0","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook","$UNT$Bone Fishing Hook",
"str_cfgvehicles_bonebait1","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.","$UNT$A crafted bait used to attract and catch fish.",
"str_cfgvehicles_bonebait0","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait","$UNT$Bone Fishing Bait",
"str_cfgvehicles_bone1","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.","Assorted bones. There's no telling what - or who - they belonged to.",
"str_cfgvehicles_bone0","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones","Bones",
"str_cfgvehicles_bearpelt0","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.","$UNT$Skin from a bear.",
"str_cfgvehicles_batteryd1","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.",
"str_cfgvehicles_batteryd0","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery","$UNT$Alkaline Battery",
"str_cfgvehicles_battery9v_useractions_cancelaction1","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action",
"str_cfgvehicles_battery9v_useractions_cancelaction0","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action",
"str_cfgvehicles_battery9v1","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.","An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.",
"str_cfgvehicles_battery9v0","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery","9V Battery",
"str_cfgvehicles_bark_oak0","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark","Dark Bark",
"str_cfgvehicles_bark_colorbase1","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.","$UNT$Big chunk of bark.",
"str_cfgvehicles_bark_colorbase0","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark","$UNT$Bark",
"str_cfgvehicles_bark_birch0","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark","Light Bark",
"str_cfgvehicles_bandana_redpattern0","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.","$UNT$A useful red pattern bandana that could be tied to mask or head cover.",
"str_cfgvehicles_bandana_polkapattern0","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.","$UNT$A useful polka pattern bandana that could be tied to mask or head cover.",
"str_cfgvehicles_goatpelt1","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.","Pelt from a goat. Can be tanned for further processing.",
"str_cfgvehicles_bandana_greenpattern0","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.","$UNT$A useful green pattern bandana that could be tied to mask or head cover.",
"str_cfgvehicles_bandana_colorbase_useractions_selfbandage1","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself",
"str_cfgvehicles_bandana_colorbase_useractions_selfbandage0","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself","$UNT$Bandage myself",
"str_cfgvehicles_bandana_colorbase_useractions_cancelaction1","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action","$UNT$Cancel current action",
